antixocs € antixocs € AQ0CN0 € əntiʃˈɔks
anxiolític € anxiolític € AQ0MS0 € ənʃiulˈitik
anxiolític € anxiolític € NCMS000 € ənʃiulˈitik
anxiolítica € anxiolític € AQ0FS0 € ənʃiulˈitikə
anxiolítics € anxiolític € AQ0MP0 € ənʃiulˈitiks
anxiolítics € anxiolític € NCMP000 € ənʃiulˈitiks
anxiolítiques € anxiolític € AQ0FP0 € ənʃiulˈitikəs
anxova € anxova € NCFS000 € ənʃˈɔβə
anxovada € anxovat € AQ0FS0 € ənʃuβˈaðə
anxovades € anxovat € AQ0FP0 € ənʃuβˈaðəs
anxovat € anxovat € AQ0MS0 € ənʃuβˈat
anxovats € anxovat € AQ0MP0 € ənʃuβˈats
anxovera € anxovera € NCFS000 € ənʃuβˈeɾə
anxoveres € anxovera € NCFP000 € ənʃuβˈeɾəs
anxoves € anxova € NCFP000 € ənʃˈɔβəs
any € any € NCMS000 € ˈaɲ
Anya € Anya € NPCNSP0 € ˈaɲə
anyada € anyada € NCFS000 € əɲˈaðə
anyader € anyader € NCMS000 € əɲəðˈe
anyadera € anyader € NCFS000 € əɲəðˈeɾə
anyaderes € anyader € NCFP000 € əɲəðˈeɾəs
anyaders € anyader € NCMP000 € əɲəðˈes
anyades € anyada € NCFP000 € əɲˈaðəs
anyal € anyal € AQ0CS0 € əɲˈal
anyalment € anyalment € ZRG € əɲˈalmˈen
anyals € anyal € AQ0CP0 € əɲˈals
Anyang € Anyang € NPCSG00 € əɲˈaŋ
Anyell € Anyell € NPCNSP0 € əɲˈeʎ
anyell € anyell € NCMS000 € əɲˈeʎ
anyella € anyella € NCFS000 € əɲˈeʎə
anyella € anyellar € VMIP3S00 € əɲˈeʎə
anyella € anyellar € VMM02S00 € əɲˈeʎə
anyellà € anyellar € VMIS3S00 € əɲəʎˈa
anyellada € anyellada € NCFS000 € əɲəʎˈaðə
anyellada € anyellar € VMP00SF0 € əɲəʎˈaðə
anyellades € anyellada € NCFP000 € əɲəʎˈaðəs
anyellades € anyellar € VMP00PF0 € əɲəʎˈaðəs
anyellant € anyellar € VMG00000 € əɲəʎˈan
anyellar € anyellar € VMN00000 € əɲəʎˈa
anyellarà € anyellar € VMIF3S00 € əɲəʎəɾˈa
anyellaran € anyellar € VMIF3P00 € əɲəʎəɾˈan
anyellaràs € anyellar € VMIF2S00 € əɲəʎəɾˈas
anyellaré € anyellar € VMIF1S00 € əɲəʎəɾˈe
anyellarem € anyellar € VMIF1P00 € əɲəʎəɾˈɛm
anyellàrem € anyellar € VMIS1P00 € əɲəʎˈaɾəm
anyellaren € anyellar € VMIS3P00 € əɲəʎˈaɾən
anyellares € anyellar € VMIS2S00 € əɲəʎˈaɾəs
anyellareu € anyellar € VMIF2P00 € əɲəʎəɾˈɛw
anyellàreu € anyellar € VMIS2P00 € əɲəʎˈaɾəw
anyellaria € anyellar € VMCC1S00 € əɲəʎəɾˈiə
anyellaríem € anyellar € VMCC1P00 € əɲəʎəɾˈiəm
anyellarien € anyellar € VMCC3P00 € əɲəʎəɾˈiən
anyellaries € anyellar € VMCC2S00 € əɲəʎəɾˈiəs
anyellaríeu € anyellar € VMCC2P00 € əɲəʎəɾˈiəw
anyellat € anyellar € VMP00SM0 € əɲəʎˈat
anyellats € anyellar € VMP00PM0 € əɲəʎˈats
anyellava € anyellar € VMII1S00 € əɲəʎˈaβə
anyellàvem € anyellar € VMII1P00 € əɲəʎˈaβəm
anyellaven € anyellar € VMII3P00 € əɲəʎˈaβən
anyellaves € anyellar € VMII2S00 € əɲəʎˈaβəs
anyellàveu € anyellar € VMII2P00 € əɲəʎˈaβəw
anyellem € anyellar € VMIP1P00 € əɲəʎˈɛm
anyellem € anyellar € VMM01P00 € əɲəʎˈɛm
anyellem € anyellar € VMSP1P00 € əɲəʎˈɛm
anyellen € anyellar € VMIP3P00 € əɲˈeʎən
anyelles € anyella € NCFP000 € əɲˈeʎəs
anyelles € anyellar € VMIP2S00 € əɲˈeʎəs
anyellés € anyellar € VMSI1S01 € əɲəʎˈes
anyelléssim € anyellar € VMSI1P02 € əɲəʎˈesim
anyellessin € anyellar € VMSI3P02 € əɲəʎˈesin
anyellessis € anyellar € VMSI2S02 € əɲəʎˈesis
anyelléssiu € anyellar € VMSI2P02 € əɲəʎˈesiw
anyelleu € anyellar € VMIP2P00 € əɲəʎˈɛw
anyelleu € anyellar € VMM02P0X € əɲəʎˈɛw
anyelleu € anyellar € VMSP2P00 € əɲəʎˈɛw
anyelli € anyellar € VMM03S0Y € əɲˈeʎi
anyelli € anyellar € VMSP1S0Y € əɲˈeʎi
anyellí € anyellar € VMIS1S00 € əɲəʎˈi
anyellin € anyellar € VMM03P0Y € əɲˈeʎin
anyellin € anyellar € VMSP3P0Y € əɲˈeʎin
anyellis € anyellar € VMSP2S0Y € əɲˈeʎis
anyello € anyellar € VMIP1S0C € əɲˈeʎu
Anyells € Anyells € NPCSG00 € əɲˈeʎs
anyells € anyell € NCMP000 € əɲˈeʎs
anyenc € anyenc € AQ0MS0 € əɲˈɛŋ
anyenca € anyenc € AQ0FS0 € əɲˈɛŋkə
anyencs € anyenc € AQ0MP0 € əɲˈɛŋs
anyenques € anyenc € AQ0FP0 € əɲˈɛŋkəs
anyer € anyer € AQ0MS0 € əɲˈe
anyer € anyer € NCMS000 € əɲˈe
anyera € anyer € AQ0FS0 € əɲˈeɾə
anyera € anyera € NCFS000 € əɲˈeɾə
anyeres € anyer € AQ0FP0 € əɲˈeɾəs
anyeres € anyera € NCFP000 € əɲˈeɾəs
anyers € anyer € AQ0MP0 € əɲˈes
anyers € anyer € NCMP000 € əɲˈes
Anyet € Anyet € NPCSG00 € əɲˈɛt
anyet € anyet € NCMS000 € əɲˈɛt
anyí € anyí € AQ0MS0 € əɲˈi
anyí € anyí € NCMS000 € əɲˈi
anyil € anyil € NCMS000 € əɲˈil
anyils € anyil € NCMP000 € əɲˈils
anyina € anyí € AQ0FS0 € əɲˈinə
anyines € anyí € AQ0FP0 € əɲˈinəs
anyins € anyins € NCMP000 € əɲˈins
anyins € anyí € AQ0MP0 € əɲˈins
anyins € anyí € NCMP000 € əɲˈins
anyívol € anyívol € AQ0MS0 € əɲˈiβul
anyívola € anyívol € AQ0FS0 € əɲˈiβulə
anyívoles € anyívol € AQ0FP0 € əɲˈiβuləs
anyívols € anyívol € AQ0MP0 € əɲˈiβuls
anyoc € anyoc € NCMS000 € əɲˈɔk
anyoca € anyocar € VMIP3S00 € əɲˈɔkə
anyoca € anyocar € VMM02S00 € əɲˈɔkə
anyocà € anyocar € VMIS3S00 € əɲukˈa
anyocada € anyocar € VMP00SF0 € əɲukˈaðə
anyocades € anyocar € VMP00PF0 € əɲukˈaðəs
anyocant € anyocar € VMG00000 € əɲukˈan
anyocar € anyocar € VMN00000 € əɲukˈa
anyocarà € anyocar € VMIF3S00 € əɲukəɾˈa
anyocaran € anyocar € VMIF3P00 € əɲukəɾˈan
anyocaràs € anyocar € VMIF2S00 € əɲukəɾˈas
anyocaré € anyocar € VMIF1S00 € əɲukəɾˈe
anyocarem € anyocar € VMIF1P00 € əɲukəɾˈɛm
anyocàrem € anyocar € VMIS1P00 € əɲukˈaɾəm
anyocaren € anyocar € VMIS3P00 € əɲukˈaɾən
anyocares € anyocar € VMIS2S00 € əɲukˈaɾəs
anyocareu € anyocar € VMIF2P00 € əɲukəɾˈɛw
anyocàreu € anyocar € VMIS2P00 € əɲukˈaɾəw
anyocaria € anyocar € VMCC1S00 € əɲukəɾˈiə
anyocaríem € anyocar € VMCC1P00 € əɲukəɾˈiəm
anyocarien € anyocar € VMCC3P00 € əɲukəɾˈiən
anyocaries € anyocar € VMCC2S00 € əɲukəɾˈiəs
anyocaríeu € anyocar € VMCC2P00 € əɲukəɾˈiəw
anyocat € anyocar € VMP00SM0 € əɲukˈat
anyocats € anyocar € VMP00PM0 € əɲukˈats
anyocava € anyocar € VMII1S00 € əɲukˈaβə
anyocàvem € anyocar € VMII1P00 € əɲukˈaβəm
anyocaven € anyocar € VMII3P00 € əɲukˈaβən
anyocaves € anyocar € VMII2S00 € əɲukˈaβəs
anyocàveu € anyocar € VMII2P00 € əɲukˈaβəw
anyoco € anyocar € VMIP1S0C € əɲˈɔku
anyocs € anyoc € NCMP000 € əɲˈɔks
anyol € anyol € NCMS000 € əɲˈɔl
anyols € anyol € NCMP000 € əɲˈɔls
anyoquem € anyocar € VMIP1P00 € əɲukˈɛm
anyoquem € anyocar € VMM01P00 € əɲukˈɛm
anyoquem € anyocar € VMSP1P00 € əɲukˈɛm
anyoquen € anyocar € VMIP3P00 € əɲˈokən
anyoques € anyocar € VMIP2S00 € əɲˈɔkəs
anyoqués € anyocar € VMSI1S01 € əɲukˈes
anyoquéssim € anyocar € VMSI1P02 € əɲukˈesim
anyoquessin € anyocar € VMSI3P02 € əɲukˈesin
anyoquessis € anyocar € VMSI2S02 € əɲukˈesis
anyoquéssiu € anyocar € VMSI2P02 € əɲukˈesiw
anyoqueu € anyocar € VMIP2P00 € əɲukˈɛw
anyoqueu € anyocar € VMM02P0X € əɲukˈɛw
anyoqueu € anyocar € VMSP2P00 € əɲukˈɛw
anyoqui € anyocar € VMM03S0Y € əɲˈoki
anyoqui € anyocar € VMSP1S0Y € əɲˈoki
anyoquí € anyocar € VMIS1S00 € əɲukˈi
anyoquin € anyocar € VMM03P0Y € əɲˈokin
anyoquin € anyocar € VMSP3P0Y € əɲˈokin
anyoquis € anyocar € VMSP2S0Y € əɲˈokis
Anyós € Anyós € NPCSG00 € əɲˈos
anys € any € NCMP000 € ˈaɲʃ
Anzio € Anzio € NPCSG00 € ənzˈiu
Anzoátegui € Anzoátegui € NPCSG00 € ənzuətˈɛɣi
Ao € Ao € NPCSG00 € ˈau
aombra € aombrar € VMIP3S00 € əˈɔmbɾə
aombra € aombrar € VMM02S00 € əˈɔmbɾə
aombrà € aombrar € VMIS3S00 € əumbɾˈa
aombrada € aombrar € VMP00SF0 € əumbɾˈaðə
aombrades € aombrar € VMP00PF0 € əumbɾˈaðəs
aombrant € aombrar € VMG00000 € əumbɾˈan
aombrar € aombrar € VMN00000 € əumbɾˈa
aombrarà € aombrar € VMIF3S00 € əumbɾəɾˈa
aombraran € aombrar € VMIF3P00 € əumbɾəɾˈan
aombraràs € aombrar € VMIF2S00 € əumbɾəɾˈas
aombraré € aombrar € VMIF1S00 € əumbɾəɾˈe
aombrarem € aombrar € VMIF1P00 € əumbɾəɾˈɛm
aombràrem € aombrar € VMIS1P00 € əumbɾˈaɾəm
aombraren € aombrar € VMIS3P00 € əumbɾˈaɾən
aombrares € aombrar € VMIS2S00 € əumbɾˈaɾəs
aombrareu € aombrar € VMIF2P00 € əumbɾəɾˈɛw
aombràreu € aombrar € VMIS2P00 € əumbɾˈaɾəw
aombraria € aombrar € VMCC1S00 € əumbɾəɾˈiə
aombraríem € aombrar € VMCC1P00 € əumbɾəɾˈiəm
aombrarien € aombrar € VMCC3P00 € əumbɾəɾˈiən
aombraries € aombrar € VMCC2S00 € əumbɾəɾˈiəs
aombraríeu € aombrar € VMCC2P00 € əumbɾəɾˈiəw
aombrat € aombrar € VMP00SM0 € əumbɾˈat
aombrats € aombrar € VMP00PM0 € əumbɾˈats
aombrava € aombrar € VMII1S00 € əumbɾˈaβə
aombràvem € aombrar € VMII1P00 € əumbɾˈaβəm
aombraven € aombrar € VMII3P00 € əumbɾˈaβən
aombraves € aombrar € VMII2S00 € əumbɾˈaβəs
aombràveu € aombrar € VMII2P00 € əumbɾˈaβəw
aombrem € aombrar € VMIP1P00 € əumbɾˈɛm
aombrem € aombrar € VMM01P00 € əumbɾˈɛm
aombrem € aombrar € VMSP1P00 € əumbɾˈɛm
aombren € aombrar € VMIP3P00 € əˈɔmbɾən
aombres € aombrar € VMIP2S00 € əˈɔmbɾəs
aombrés € aombrar € VMSI1S01 € əumbɾˈes
aombréssim € aombrar € VMSI1P02 € əumbɾˈesim
aombressin € aombrar € VMSI3P02 € əumbɾˈesin
aombressis € aombrar € VMSI2S02 € əumbɾˈesis
aombréssiu € aombrar € VMSI2P02 € əumbɾˈesiw
aombreu € aombrar € VMIP2P00 € əumbɾˈɛw
aombreu € aombrar € VMM02P0X € əumbɾˈɛw
aombreu € aombrar € VMSP2P00 € əumbɾˈɛw
aombri € aombrar € VMM03S0Y € əˈɔmbɾi
aombri € aombrar € VMSP1S0Y € əˈɔmbɾi
aombrí € aombrar € VMIS1S00 € əumbɾˈi
aombrin € aombrar € VMM03P0Y € əˈɔmbɾin
aombrin € aombrar € VMSP3P0Y € əˈɔmbɾin
aombris € aombrar € VMSP2S0Y € əˈɔmbɾis
aombro € aombrar € VMIP1S0C € əˈɔmbɾu
Aomori € Aomori € NPCSG00 € əumˈɔɾi
aorist € aorist € NCMS000 € əuɾˈist
aorístic € aorístic € AQ0MS0 € əuɾˈistik
aorística € aorístic € AQ0FS0 € əuɾˈistikə
aorístics € aorístic € AQ0MP0 € əuɾˈistiks
aorístiques € aorístic € AQ0FP0 € əuɾˈistikəs
aoristos € aorist € NCMP000 € əuɾˈistus
aorists € aorist € NCMP000 € əuɾˈists
aorta € aorta € NCFS000 € əˈɔrtə
aortes € aorta € NCFP000 € əˈɔrtəs
aòrtic € aòrtic € AQ0MS0 € əˈɔrtik
aòrtica € aòrtic € AQ0FS0 € əˈɔrtikə
aòrtics € aòrtic € AQ0MP0 € əˈɔrtiks
aòrtiques € aòrtic € AQ0FP0 € əˈɔrtikəs
aortitis € aortitis € NCFN000 € əurtˈitis
Aosta € Aosta € NPFSG00 € əˈɔstə
aotus € aotus € NCMN000 € əˈɔtus
apa € apa € ZI € ˈapə
apadana € apadana € NCFS000 € əpəðˈanə
apadrina € apadrinar € VMIP3S00 € əpəðɾˈinə
apadrina € apadrinar € VMM02S00 € əpəðɾˈinə
apadrinà € apadrinar € VMIS3S00 € əpəðɾinˈa
apadrinada € apadrinar € VMP00SF0 € əpəðɾinˈaðə
apadrinades € apadrinar € VMP00PF0 € əpəðɾinˈaðəs
apadrinador € apadrinador € AQ0MS0 € əpəðɾinəðˈo
apadrinador € apadrinador € NCMS000 € əpəðɾinəðˈo
apadrinadora € apadrinador € AQ0FS0 € əpəðɾinəðˈoɾə
apadrinadora € apadrinador € NCFS000 € əpəðɾinəðˈoɾə
apadrinadores € apadrinador € AQ0FP0 € əpəðɾinəðˈoɾəs
apadrinadores € apadrinador € NCFP000 € əpəðɾinəðˈoɾəs
apadrinadors € apadrinador € AQ0MP0 € əpəðɾinəðˈos
apadrinadors € apadrinador € NCMP000 € əpəðɾinəðˈos
apadrinament € apadrinament € NCMS000 € əpəðɾinəmˈen
apadrinaments € apadrinament € NCMP000 € əpəðɾinəmˈens
apadrinant € apadrinar € VMG00000 € əpəðɾinˈan
apadrinar € apadrinar € VMN00000 € əpəðɾinˈa
apadrinarà € apadrinar € VMIF3S00 € əpəðɾinəɾˈa
apadrinaran € apadrinar € VMIF3P00 € əpəðɾinəɾˈan
apadrinaràs € apadrinar € VMIF2S00 € əpəðɾinəɾˈas
apadrinaré € apadrinar € VMIF1S00 € əpəðɾinəɾˈe
apadrinarem € apadrinar € VMIF1P00 € əpəðɾinəɾˈɛm
apadrinàrem € apadrinar € VMIS1P00 € əpəðɾinˈaɾəm
apadrinaren € apadrinar € VMIS3P00 € əpəðɾinˈaɾən
apadrinares € apadrinar € VMIS2S00 € əpəðɾinˈaɾəs
apadrinareu € apadrinar € VMIF2P00 € əpəðɾinəɾˈɛw
apadrinàreu € apadrinar € VMIS2P00 € əpəðɾinˈaɾəw
apadrinaria € apadrinar € VMCC1S00 € əpəðɾinəɾˈiə
apadrinaríem € apadrinar € VMCC1P00 € əpəðɾinəɾˈiəm
apadrinarien € apadrinar € VMCC3P00 € əpəðɾinəɾˈiən
apadrinaries € apadrinar € VMCC2S00 € əpəðɾinəɾˈiəs
apadrinaríeu € apadrinar € VMCC2P00 € əpəðɾinəɾˈiəw
apadrinat € apadrinar € VMP00SM0 € əpəðɾinˈat
apadrinats € apadrinar € VMP00PM0 € əpəðɾinˈats
apadrinava € apadrinar € VMII1S00 € əpəðɾinˈaβə
apadrinàvem € apadrinar € VMII1P00 € əpəðɾinˈaβəm
apadrinaven € apadrinar € VMII3P00 € əpəðɾinˈaβən
apadrinaves € apadrinar € VMII2S00 € əpəðɾinˈaβəs
apadrinàveu € apadrinar € VMII2P00 € əpəðɾinˈaβəw
apadrinem € apadrinar € VMIP1P00 € əpəðɾinˈɛm
apadrinem € apadrinar € VMM01P00 € əpəðɾinˈɛm
apadrinem € apadrinar € VMSP1P00 € əpəðɾinˈɛm
apadrinen € apadrinar € VMIP3P00 € əpəðɾˈinən
apadrines € apadrinar € VMIP2S00 € əpəðɾˈinəs
apadrinés € apadrinar € VMSI1S01 € əpəðɾinˈes
apadrinéssim € apadrinar € VMSI1P02 € əpəðɾinˈesim
apadrinessin € apadrinar € VMSI3P02 € əpəðɾinˈesin
apadrinessis € apadrinar € VMSI2S02 € əpəðɾinˈesis
apadrinéssiu € apadrinar € VMSI2P02 € əpəðɾinˈesiw
apadrineu € apadrinar € VMIP2P00 € əpəðɾinˈɛw
apadrineu € apadrinar € VMM02P0X € əpəðɾinˈɛw
apadrineu € apadrinar € VMSP2P00 € əpəðɾinˈɛw
apadrini € apadrinar € VMM03S0Y € əpəðɾˈini
apadrini € apadrinar € VMSP1S0Y € əpəðɾˈini
apadriní € apadrinar € VMIS1S00 € əpəðɾinˈi
apadrinin € apadrinar € VMM03P0Y € əpəðɾˈinin
apadrinin € apadrinar € VMSP3P0Y € əpəðɾˈinin
apadrinis € apadrinar € VMSP2S0Y € əpəðɾˈinis
apadrino € apadrinar € VMIP1S0C € əpəðɾˈinu
apaga € apagar € VMIP3S00 € əpˈaɣə
apaga € apagar € VMM02S00 € əpˈaɣə
apagà € apagar € VMIS3S00 € əpəɣˈa
apagable € apagable € AQ0CS0 € əpəɣˈabblə
apagables € apagable € AQ0CP0 € əpəɣˈabbləs
apagada € apagada € NCFS000 € əpəɣˈaðə
apagada € apagar € VMP00SF0 € əpəɣˈaðə
apagades € apagada € NCFP000 € əpəɣˈaðəs
apagades € apagar € VMP00PF0 € əpəɣˈaðəs
apagador € apagador € AQ0MS0 € əpəɣəðˈo
apagador € apagador € NCMS000 € əpəɣəðˈo
apagadora € apagador € AQ0FS0 € əpəɣəðˈoɾə
apagadores € apagador € AQ0FP0 € əpəɣəðˈoɾəs
apagadors € apagador € AQ0MP0 € əpəɣəðˈos
apagadors € apagador € NCMP000 € əpəɣəðˈos
apagafoc € apagafoc € NCMS000 € əpəɣəfˈɔk
apagaguspires € apagaguspires € NCMN000 € əpəɣəɣuspˈiɾəs
apagallums € apagallums € NCMN000 € əpəɣəʎˈums
apagament € apagament € NCMS000 € əpəɣəmˈen
apagaments € apagament € NCMP000 € əpəɣəmˈens
apagant € apagar € VMG00000 € əpəɣˈan
apagapenol € apagapenol € NCMS000 € əpəɣəpənˈɔl
apagapenols € apagapenol € NCMP000 € əpəɣəpənˈɔls
apagar € apagar € VMN00000 € əpəɣˈa
apagarà € apagar € VMIF3S00 € əpəɣəɾˈa
apagaran € apagar € VMIF3P00 € əpəɣəɾˈan
apagaràs € apagar € VMIF2S00 € əpəɣəɾˈas
apagaré € apagar € VMIF1S00 € əpəɣəɾˈe
apagarem € apagar € VMIF1P00 € əpəɣəɾˈɛm
apagàrem € apagar € VMIS1P00 € əpəɣˈaɾəm
apagaren € apagar € VMIS3P00 € əpəɣˈaɾən
apagares € apagar € VMIS2S00 € əpəɣˈaɾəs
apagareu € apagar € VMIF2P00 € əpəɣəɾˈɛw
apagàreu € apagar € VMIS2P00 € əpəɣˈaɾəw
apagaria € apagar € VMCC1S00 € əpəɣəɾˈiə
apagaríem € apagar € VMCC1P00 € əpəɣəɾˈiəm
apagarien € apagar € VMCC3P00 € əpəɣəɾˈiən
apagaries € apagar € VMCC2S00 € əpəɣəɾˈiəs
apagaríeu € apagar € VMCC2P00 € əpəɣəɾˈiəw
apagat € apagar € VMP00SM0 € əpəɣˈat
apagats € apagar € VMP00PM0 € əpəɣˈats
apagava € apagar € VMII1S00 € əpəɣˈaβə
apagaveles € apagaveles € NCMN000 € əpəɣəβˈɛləs
apagàvem € apagar € VMII1P00 € əpəɣˈaβəm
apagaven € apagar € VMII3P00 € əpəɣˈaβən
apagaves € apagar € VMII2S00 € əpəɣˈaβəs
apagàveu € apagar € VMII2P00 € əpəɣˈaβəw
apagesada € apagesat € AQ0FS0 € əpəʒəzˈaðə
apagesades € apagesat € AQ0FP0 € əpəʒəzˈaðəs
apagesat € apagesat € AQ0MS0 € əpəʒəzˈat
apagesats € apagesat € AQ0MP0 € əpəʒəzˈats
apago € apagar € VMIP1S0C € əpˈaɣu
apagoge € apagoge € NCFS000 € əpəɣˈɔʒə
apagoges € apagoge € NCFP000 € əpəɣˈɔʒəs
apagògic € apagògic € AQ0MS0 € əpəɣˈɔʒik
apagògica € apagògic € AQ0FS0 € əpəɣˈɔʒikə
apagògics € apagògic € AQ0MP0 € əpəɣˈɔʒiks
apagògiques € apagògic € AQ0FP0 € əpəɣˈɔʒikəs
apaguem € apagar € VMIP1P00 € əpəɣˈɛm
apaguem € apagar € VMM01P00 € əpəɣˈɛm
apaguem € apagar € VMSP1P00 € əpəɣˈɛm
apaguen € apagar € VMIP3P00 € əpˈaɣən
apagues € apagar € VMIP2S00 € əpˈaɣəs
apagués € apagar € VMSI1S01 € əpəɣˈes
apaguéssim € apagar € VMSI1P02 € əpəɣˈesim
apaguessin € apagar € VMSI3P02 € əpəɣˈesin
apaguessis € apagar € VMSI2S02 € əpəɣˈesis
apaguéssiu € apagar € VMSI2P02 € əpəɣˈesiw
apagueu € apagar € VMIP2P00 € əpəɣˈɛw
apagueu € apagar € VMM02P0X € əpəɣˈɛw
apagueu € apagar € VMSP2P00 € əpəɣˈɛw
apagui € apagar € VMM03S0Y € əpˈaɣi
apagui € apagar € VMSP1S0Y € əpˈaɣi
apaguí € apagar € VMIS1S00 € əpəɣˈi
apaguin € apagar € VMM03P0Y € əpˈaɣin
apaguin € apagar € VMSP3P0Y € əpˈaɣin
apaguis € apagar € VMSP2S0Y € əpˈaɣis
apaïsada € apaïsat € AQ0FS0 € əpəizˈaðə
apaïsades € apaïsat € AQ0FP0 € əpəizˈaðəs
apaïsat € apaïsat € AQ0MS0 € əpəizˈat
apaïsats € apaïsat € AQ0MP0 € əpəizˈats
apaivaga € apaivagar € VMIP3S00 € əpəjβˈaɣə
apaivaga € apaivagar € VMM02S00 € əpəjβˈaɣə
apaivagà € apaivagar € VMIS3S00 € əpəjβəɣˈa
apaivagable € apaivagable € AQ0CS0 € əpəjβəɣˈabblə
apaivagables € apaivagable € AQ0CP0 € əpəjβəɣˈabbləs
apaivagada € apaivagar € VMP00SF0 € əpəjβəɣˈaðə
apaivagades € apaivagar € VMP00PF0 € əpəjβəɣˈaðəs
apaivagador € apaivagador € AQ0MS0 € əpəjβəɣəðˈo
apaivagadora € apaivagador € AQ0FS0 € əpəjβəɣəðˈoɾə
apaivagadores € apaivagador € AQ0FP0 € əpəjβəɣəðˈoɾəs
apaivagadors € apaivagador € AQ0MP0 € əpəjβəɣəðˈos
apaivagament € apaivagament € NCMS000 € əpəjβəɣəmˈen
apaivagaments € apaivagament € NCMP000 € əpəjβəɣəmˈens
apaivagant € apaivagar € VMG00000 € əpəjβəɣˈan
apaivagar € apaivagar € VMN00000 € əpəjβəɣˈa
apaivagarà € apaivagar € VMIF3S00 € əpəjβəɣəɾˈa
apaivagaran € apaivagar € VMIF3P00 € əpəjβəɣəɾˈan
apaivagaràs € apaivagar € VMIF2S00 € əpəjβəɣəɾˈas
apaivagaré € apaivagar € VMIF1S00 € əpəjβəɣəɾˈe
apaivagarem € apaivagar € VMIF1P00 € əpəjβəɣəɾˈɛm
apaivagàrem € apaivagar € VMIS1P00 € əpəjβəɣˈaɾəm
apaivagaren € apaivagar € VMIS3P00 € əpəjβəɣˈaɾən
apaivagares € apaivagar € VMIS2S00 € əpəjβəɣˈaɾəs
apaivagareu € apaivagar € VMIF2P00 € əpəjβəɣəɾˈɛw
apaivagàreu € apaivagar € VMIS2P00 € əpəjβəɣˈaɾəw
apaivagaria € apaivagar € VMCC1S00 € əpəjβəɣəɾˈiə
apaivagaríem € apaivagar € VMCC1P00 € əpəjβəɣəɾˈiəm
apaivagarien € apaivagar € VMCC3P00 € əpəjβəɣəɾˈiən
apaivagaries € apaivagar € VMCC2S00 € əpəjβəɣəɾˈiəs
apaivagaríeu € apaivagar € VMCC2P00 € əpəjβəɣəɾˈiəw
apaivagat € apaivagar € VMP00SM0 € əpəjβəɣˈat
apaivagats € apaivagar € VMP00PM0 € əpəjβəɣˈats
apaivagava € apaivagar € VMII1S00 € əpəjβəɣˈaβə
apaivagàvem € apaivagar € VMII1P00 € əpəjβəɣˈaβəm
apaivagaven € apaivagar € VMII3P00 € əpəjβəɣˈaβən
apaivagaves € apaivagar € VMII2S00 € əpəjβəɣˈaβəs
apaivagàveu € apaivagar € VMII2P00 € əpəjβəɣˈaβəw
apaivago € apaivagar € VMIP1S0C € əpəjβˈaɣu
apaivaguem € apaivagar € VMIP1P00 € əpəjβəɣˈɛm
apaivaguem € apaivagar € VMM01P00 € əpəjβəɣˈɛm
apaivaguem € apaivagar € VMSP1P00 € əpəjβəɣˈɛm
apaivaguen € apaivagar € VMIP3P00 € əpəjβˈaɣən
apaivagues € apaivagar € VMIP2S00 € əpəjβˈaɣəs
apaivagués € apaivagar € VMSI1S01 € əpəjβəɣˈes
apaivaguéssim € apaivagar € VMSI1P02 € əpəjβəɣˈesim
apaivaguessin € apaivagar € VMSI3P02 € əpəjβəɣˈesin
apaivaguessis € apaivagar € VMSI2S02 € əpəjβəɣˈesis
apaivaguéssiu € apaivagar € VMSI2P02 € əpəjβəɣˈesiw
apaivagueu € apaivagar € VMIP2P00 € əpəjβəɣˈɛw
apaivagueu € apaivagar € VMM02P0X € əpəjβəɣˈɛw
apaivagueu € apaivagar € VMSP2P00 € əpəjβəɣˈɛw
apaivagui € apaivagar € VMM03S0Y € əpəjβˈaɣi
apaivagui € apaivagar € VMSP1S0Y € əpəjβˈaɣi
apaivaguí € apaivagar € VMIS1S00 € əpəjβəɣˈi
apaivaguin € apaivagar € VMM03P0Y € əpəjβˈaɣin
apaivaguin € apaivagar € VMSP3P0Y € əpəjβˈaɣin
apaivaguis € apaivagar € VMSP2S0Y € əpəjβˈaɣis
apalancar € apalancar € VMN00000 € əpələŋkˈa
apalancaré € apalancar € VMIF1S00 € əpələŋkəɾˈe
apalanco € apalancar € VMIP1S0C € əpəlˈaŋku
Apalatxes € Apalatxes € NPMPG00 € əpəlˈatʃəs
apalatxià € apalatxià € AQ0MS0 € əpələtʃiˈa
apalatxiana € apalatxià € AQ0FS0 € əpələtʃiˈanə
apalatxianes € apalatxià € AQ0FP0 € əpələtʃiˈanəs
apalatxians € apalatxià € AQ0MP0 € əpələtʃiˈans
apalissa € apalissar € VMIP3S00 € əpəlˈisə
apalissa € apalissar € VMM02S00 € əpəlˈisə
apalissà € apalissar € VMIS3S00 € əpəlisˈa
apalissada € apalissar € VMP00SF0 € əpəlisˈaðə
apalissades € apalissar € VMP00PF0 € əpəlisˈaðəs
apalissant € apalissar € VMG00000 € əpəlisˈan
apalissar € apalissar € VMN00000 € əpəlisˈa
apalissarà € apalissar € VMIF3S00 € əpəlisəɾˈa
apalissaran € apalissar € VMIF3P00 € əpəlisəɾˈan
apalissaràs € apalissar € VMIF2S00 € əpəlisəɾˈas
apalissaré € apalissar € VMIF1S00 € əpəlisəɾˈe
apalissarem € apalissar € VMIF1P00 € əpəlisəɾˈɛm
