Sostres € Sostres € NPCNSP0 € sˈɔstɾəs
soterrí € soterrar € VMIS1S00 € sutərˈi
soterrin € soterrar € VMM03P0Y € sutˈɛrin
soterrin € soterrar € VMSP3P0Y € sutˈɛrin
soterris € soterrar € VMSP2S0Y € sutˈɛris
soterro € soterrar € VMIP1S0C € sutˈɛru
sotes € sota € NCFP000 € sˈɔtəs
sotgem € sotjar € VMIP1P00 € sudʒˈɛm
sotgem € sotjar € VMM01P00 € sudʒˈɛm
sotgem € sotjar € VMSP1P00 € sudʒˈɛm
sotgen € sotjar € VMIP3P00 € sˈɔdʒən
sotges € sotjar € VMIP2S00 € sˈɔdʒəs
sotgés € sotjar € VMSI1S01 € sudʒˈes
sotgéssim € sotjar € VMSI1P02 € sudʒˈesim
sotgessin € sotjar € VMSI3P02 € sudʒˈesin
sotgessis € sotjar € VMSI2S02 € sudʒˈesis
sotgéssiu € sotjar € VMSI2P02 € sudʒˈesiw
sotgeu € sotjar € VMIP2P00 € sudʒˈɛw
sotgeu € sotjar € VMM02P0X € sudʒˈɛw
sotgeu € sotjar € VMSP2P00 € sudʒˈɛw
sotgi € sotjar € VMM03S0Y € sˈɔdʒi
sotgi € sotjar € VMSP1S0Y € sˈɔdʒi
sotgí € sotjar € VMIS1S00 € sudʒˈi
sotgin € sotjar € VMM03P0Y € sˈɔdʒin
sotgin € sotjar € VMSP3P0Y € sˈɔdʒin
sotgis € sotjar € VMSP2S0Y € sˈɔdʒis
sotil € sotil € AQ0CS0 € sutˈil
sòtil € sòtil € NCMS000 € sˈɔtil
sotilesa € sotilesa € NCFS000 € sutilˈɛzə
sotileses € sotilesa € NCFP000 € sutilˈɛzəs
sotils € sotil € AQ0CP0 € sutˈils
sòtils € sòtil € NCMP000 € sˈɔtils
sotja € sotjar € VMIP3S00 € sˈɔdʒə
sotja € sotjar € VMM02S00 € sˈɔdʒə
sotjà € sotjar € VMIS3S00 € sudʒˈa
sotjada € sotjar € VMP00SF0 € sudʒˈaðə
sotjades € sotjar € VMP00PF0 € sudʒˈaðəs
sotjador € sotjador € AQ0MS0 € sudʒəðˈo
sotjadora € sotjador € AQ0FS0 € sudʒəðˈoɾə
sotjadores € sotjador € AQ0FP0 € sudʒəðˈoɾəs
sotjadors € sotjador € AQ0MP0 € sudʒəðˈos
sotjant € sotjar € VMG00000 € sudʒˈan
sotjar € sotjar € VMN00000 € sudʒˈa
sotjarà € sotjar € VMIF3S00 € sudʒəɾˈa
sotjaran € sotjar € VMIF3P00 € sudʒəɾˈan
sotjaràs € sotjar € VMIF2S00 € sudʒəɾˈas
sotjaré € sotjar € VMIF1S00 € sudʒəɾˈe
sotjarem € sotjar € VMIF1P00 € sudʒəɾˈɛm
sotjàrem € sotjar € VMIS1P00 € sudʒˈaɾəm
sotjaren € sotjar € VMIS3P00 € sudʒˈaɾən
sotjares € sotjar € VMIS2S00 € sudʒˈaɾəs
sotjareu € sotjar € VMIF2P00 € sudʒəɾˈɛw
sotjàreu € sotjar € VMIS2P00 € sudʒˈaɾəw
sotjaria € sotjar € VMCC1S00 € sudʒəɾˈiə
sotjaríem € sotjar € VMCC1P00 € sudʒəɾˈiəm
sotjarien € sotjar € VMCC3P00 € sudʒəɾˈiən
sotjaries € sotjar € VMCC2S00 € sudʒəɾˈiəs
sotjaríeu € sotjar € VMCC2P00 € sudʒəɾˈiəw
sotjat € sotjar € VMP00SM0 € sudʒˈat
sotjats € sotjar € VMP00PM0 € sudʒˈats
sotjava € sotjar € VMII1S00 € sudʒˈaβə
sotjàvem € sotjar € VMII1P00 € sudʒˈaβəm
sotjaven € sotjar € VMII3P00 € sudʒˈaβən
sotjaves € sotjar € VMII2S00 € sudʒˈaβəs
sotjàveu € sotjar € VMII2P00 € sudʒˈaβəw
sotjo € sotjar € VMIP1S0C € sˈɔdʒu
sotmès € sotmetre € VMP00SM0 € sudmˈɛs
sotmés € sotmetre € VMP00SM0 € sudmˈes
sotmesa € sotmetre € VMP00SF0 € sudmˈɛzə
sotmeses € sotmetre € VMP00PF0 € sudmˈɛzəs
sotmesos € sotmetre € VMP00PM0 € sudmˈɛzus
sotmet € sotmetre € VMIP3S00 € sudmˈɛt
sotmet € sotmetre € VMM02S00 € sudmˈɛt
sotmeté € sotmetre € VMIS3S00 € sudmətˈe
sotmetem € sotmetre € VMIP1P00 € sudmətˈɛm
sotmetem € sotmetre € VMM01P00 € sudmətˈɛm
sotmetem € sotmetre € VMSP1P00 € sudmətˈɛm
sotmeten € sotmetre € VMIP3P00 € sudmˈɛtən
sotmetent € sotmetre € VMG00000 € sudmətˈen
sotmetérem € sotmetre € VMIS1P00 € sudmətˈeɾəm
sotmeteren € sotmetre € VMIS3P00 € sudmətˈɛɾən
sotmeteres € sotmetre € VMIS2S00 € sudmətˈeɾəs
sotmetéreu € sotmetre € VMIS2P00 € sudmətˈeɾəw
sotmetés € sotmetre € VMSI1S01 € sudmətˈes
sotmetéssim € sotmetre € VMSI1P02 € sudmətˈesim
sotmetessin € sotmetre € VMSI3P02 € sudmətˈesin
sotmetessis € sotmetre € VMSI2S02 € sudmətˈesis
sotmetéssiu € sotmetre € VMSI2P02 € sudmətˈesiw
sotmeteu € sotmetre € VMIP2P00 € sudmətˈɛw
sotmeteu € sotmetre € VMM02P00 € sudmətˈɛw
sotmeteu € sotmetre € VMSP2P00 € sudmətˈɛw
sotmeti € sotmetre € VMM03S0Y € sudmˈɛti
sotmeti € sotmetre € VMSP1S0Y € sudmˈɛti
sotmetí € sotmetre € VMIS1S00 € sudmətˈi
sotmetia € sotmetre € VMII1S00 € sudmətˈiə
sotmetíem € sotmetre € VMII1P00 € sudmətˈiəm
sotmetien € sotmetre € VMII3P00 € sudmətˈiən
sotmeties € sotmetre € VMII2S00 € sudmətˈiəs
sotmetíeu € sotmetre € VMII2P00 € sudmətˈiəw
sotmetiment € sotmetiment € NCMS000 € sudmətimˈen
sotmetiments € sotmetiment € NCMP000 € sudmətimˈens
sotmetin € sotmetre € VMM03P0Y € sudmˈɛtin
sotmetin € sotmetre € VMSP3P0Y € sudmˈɛtin
sotmetis € sotmetre € VMSP2S0Y € sudmˈɛtis
sotmeto € sotmetre € VMIP1S0C € sudmˈɛtu
sotmetrà € sotmetre € VMIF3S00 € sudmətɾˈa
sotmetran € sotmetre € VMIF3P00 € sudmətɾˈan
sotmetràs € sotmetre € VMIF2S00 € sudmətɾˈas
sotmetre € sotmetre € VMN00000 € sudmˈɛtɾə
sotmetré € sotmetre € VMIF1S00 € sudmətɾˈe
sotmetrem € sotmetre € VMIF1P00 € sudmətɾˈɛm
sotmetreu € sotmetre € VMIF2P00 € sudmətɾˈɛw
sotmetria € sotmetre € VMCC1S00 € sudmətɾˈiə
sotmetríem € sotmetre € VMCC1P00 € sudmətɾˈiəm
sotmetrien € sotmetre € VMCC3P00 € sudmətɾˈiən
sotmetries € sotmetre € VMCC2S00 € sudmətɾˈiəs
sotmetríeu € sotmetre € VMCC2P00 € sudmətɾˈiəw
sotmets € sotmetre € VMIP2S00 € sudmˈɛts
sòtol € sòtol € NCMS000 € sˈɔtul
sòtols € sòtol € NCMP000 € sˈɔtuls
sotrac € sotrac € NCMS000 € sutɾˈak
sotracs € sotrac € NCMP000 € sutɾˈaks
sotraga € sotragar € VMIP3S00 € sutɾˈaɣə
sotraga € sotragar € VMM02S00 € sutɾˈaɣə
sotragà € sotragar € VMIS3S00 € sutɾəɣˈa
sotragada € sotragada € NCFS000 € sutɾəɣˈaðə
sotragada € sotragar € VMP00SF0 € sutɾəɣˈaðə
sotragades € sotragada € NCFP000 € sutɾəɣˈaðəs
sotragades € sotragar € VMP00PF0 € sutɾəɣˈaðəs
sotragant € sotragar € VMG00000 € sutɾəɣˈan
sotragar € sotragar € VMN00000 € sutɾəɣˈa
sotragarà € sotragar € VMIF3S00 € sutɾəɣəɾˈa
sotragaran € sotragar € VMIF3P00 € sutɾəɣəɾˈan
sotragaràs € sotragar € VMIF2S00 € sutɾəɣəɾˈas
sotragaré € sotragar € VMIF1S00 € sutɾəɣəɾˈe
sotragarem € sotragar € VMIF1P00 € sutɾəɣəɾˈɛm
sotragàrem € sotragar € VMIS1P00 € sutɾəɣˈaɾəm
sotragaren € sotragar € VMIS3P00 € sutɾəɣˈaɾən
sotragares € sotragar € VMIS2S00 € sutɾəɣˈaɾəs
sotragareu € sotragar € VMIF2P00 € sutɾəɣəɾˈɛw
sotragàreu € sotragar € VMIS2P00 € sutɾəɣˈaɾəw
sotragaria € sotragar € VMCC1S00 € sutɾəɣəɾˈiə
sotragaríem € sotragar € VMCC1P00 € sutɾəɣəɾˈiəm
sotragarien € sotragar € VMCC3P00 € sutɾəɣəɾˈiən
sotragaries € sotragar € VMCC2S00 € sutɾəɣəɾˈiəs
sotragaríeu € sotragar € VMCC2P00 € sutɾəɣəɾˈiəw
sotragat € sotragar € VMP00SM0 € sutɾəɣˈat
sotragats € sotragar € VMP00PM0 € sutɾəɣˈats
sotragava € sotragar € VMII1S00 € sutɾəɣˈaβə
sotragàvem € sotragar € VMII1P00 € sutɾəɣˈaβəm
sotragaven € sotragar € VMII3P00 € sutɾəɣˈaβən
sotragaves € sotragar € VMII2S00 € sutɾəɣˈaβəs
sotragàveu € sotragar € VMII2P00 € sutɾəɣˈaβəw
sotrago € sotragar € VMIP1S0C € sutɾˈaɣu
sotraguegem € sotraguejar € VMIP1P00 € sutɾəɣəʒˈɛm
sotraguegem € sotraguejar € VMM01P00 € sutɾəɣəʒˈɛm
sotraguegem € sotraguejar € VMSP1P00 € sutɾəɣəʒˈɛm
sotraguegen € sotraguejar € VMIP3P00 € sutɾəɣˈɛʒən
sotragueges € sotraguejar € VMIP2S00 € sutɾəɣˈɛʒəs
sotraguegés € sotraguejar € VMSI1S01 € sutɾəɣəʒˈes
sotraguegéssim € sotraguejar € VMSI1P02 € sutɾəɣəʒˈesim
sotraguegessin € sotraguejar € VMSI3P02 € sutɾəɣəʒˈesin
sotraguegessis € sotraguejar € VMSI2S02 € sutɾəɣəʒˈesis
sotraguegéssiu € sotraguejar € VMSI2P02 € sutɾəɣəʒˈesiw
sotraguegeu € sotraguejar € VMIP2P00 € sutɾəɣəʒˈɛw
sotraguegeu € sotraguejar € VMM02P0X € sutɾəɣəʒˈɛw
sotraguegeu € sotraguejar € VMSP2P00 € sutɾəɣəʒˈɛw
sotraguegi € sotraguejar € VMM03S0Y € sutɾəɣˈɛʒi
sotraguegi € sotraguejar € VMSP1S0Y € sutɾəɣˈɛʒi
sotraguegí € sotraguejar € VMIS1S00 € sutɾəɣəʒˈi
sotraguegin € sotraguejar € VMM03P0Y € sutɾəɣˈɛʒin
sotraguegin € sotraguejar € VMSP3P0Y € sutɾəɣˈɛʒin
sotraguegis € sotraguejar € VMSP2S0Y € sutɾəɣˈɛʒis
sotragueig € sotragueig € NCMS000 € sutɾəɣˈɛtʃ
sotragueigs € sotragueig € NCMP000 € sutɾəɣˈɛtʃs
sotragueja € sotraguejar € VMIP3S00 € sutɾəɣˈɛʒə
sotragueja € sotraguejar € VMM02S00 € sutɾəɣˈɛʒə
sotraguejà € sotraguejar € VMIS3S00 € sutɾəɣəʒˈa
sotraguejada € sotraguejar € VMP00SF0 € sutɾəɣəʒˈaðə
sotraguejades € sotraguejar € VMP00PF0 € sutɾəɣəʒˈaðəs
sotraguejant € sotraguejar € VMG00000 € sutɾəɣəʒˈan
sotraguejar € sotraguejar € VMN00000 € sutɾəɣəʒˈa
sotraguejarà € sotraguejar € VMIF3S00 € sutɾəɣəʒəɾˈa
sotraguejaran € sotraguejar € VMIF3P00 € sutɾəɣəʒəɾˈan
sotraguejaràs € sotraguejar € VMIF2S00 € sutɾəɣəʒəɾˈas
sotraguejaré € sotraguejar € VMIF1S00 € sutɾəɣəʒəɾˈe
sotraguejarem € sotraguejar € VMIF1P00 € sutɾəɣəʒəɾˈɛm
sotraguejàrem € sotraguejar € VMIS1P00 € sutɾəɣəʒˈaɾəm
sotraguejaren € sotraguejar € VMIS3P00 € sutɾəɣəʒˈaɾən
sotraguejares € sotraguejar € VMIS2S00 € sutɾəɣəʒˈaɾəs
sotraguejareu € sotraguejar € VMIF2P00 € sutɾəɣəʒəɾˈɛw
sotraguejàreu € sotraguejar € VMIS2P00 € sutɾəɣəʒˈaɾəw
sotraguejaria € sotraguejar € VMCC1S00 € sutɾəɣəʒəɾˈiə
sotraguejaríem € sotraguejar € VMCC1P00 € sutɾəɣəʒəɾˈiəm
sotraguejarien € sotraguejar € VMCC3P00 € sutɾəɣəʒəɾˈiən
sotraguejaries € sotraguejar € VMCC2S00 € sutɾəɣəʒəɾˈiəs
sotraguejaríeu € sotraguejar € VMCC2P00 € sutɾəɣəʒəɾˈiəw
sotraguejat € sotraguejar € VMP00SM0 € sutɾəɣəʒˈat
sotraguejats € sotraguejar € VMP00PM0 € sutɾəɣəʒˈats
sotraguejava € sotraguejar € VMII1S00 € sutɾəɣəʒˈaβə
sotraguejàvem € sotraguejar € VMII1P00 € sutɾəɣəʒˈaβəm
sotraguejaven € sotraguejar € VMII3P00 € sutɾəɣəʒˈaβən
sotraguejaves € sotraguejar € VMII2S00 € sutɾəɣəʒˈaβəs
sotraguejàveu € sotraguejar € VMII2P00 € sutɾəɣəʒˈaβəw
sotraguejo € sotraguejar € VMIP1S0C € sutɾəɣˈɛʒu
sotraguejos € sotragueig € NCMP000 € sutɾəɣˈɛʒus
sotraguem € sotragar € VMIP1P00 € sutɾəɣˈɛm
sotraguem € sotragar € VMM01P00 € sutɾəɣˈɛm
sotraguem € sotragar € VMSP1P00 € sutɾəɣˈɛm
sotraguen € sotragar € VMIP3P00 € sutɾˈaɣən
sotragues € sotragar € VMIP2S00 € sutɾˈaɣəs
sotragués € sotragar € VMSI1S01 € sutɾəɣˈes
sotraguéssim € sotragar € VMSI1P02 € sutɾəɣˈesim
sotraguessin € sotragar € VMSI3P02 € sutɾəɣˈesin
sotraguessis € sotragar € VMSI2S02 € sutɾəɣˈesis
sotraguéssiu € sotragar € VMSI2P02 € sutɾəɣˈesiw
sotragueu € sotragar € VMIP2P00 € sutɾəɣˈɛw
sotragueu € sotragar € VMM02P0X € sutɾəɣˈɛw
sotragueu € sotragar € VMSP2P00 € sutɾəɣˈɛw
sotragui € sotragar € VMM03S0Y € sutɾˈaɣi
sotragui € sotragar € VMSP1S0Y € sutɾˈaɣi
sotraguí € sotragar € VMIS1S00 € sutɾəɣˈi
sotraguin € sotragar € VMM03P0Y € sutɾˈaɣin
sotraguin € sotragar € VMSP3P0Y € sutɾˈaɣin
sotraguis € sotragar € VMSP2S0Y € sutɾˈaɣis
sots € sot € NCMP000 € sˈɔts
sots € sots € ZSPS00 € sˈɔts
sotsarrenda € sotsarrendar € VMIP3S00 € sutsərˈendə
sotsarrenda € sotsarrendar € VMM02S00 € sutsərˈendə
sotsarrendà € sotsarrendar € VMIS3S00 € sutsərəndˈa
sotsarrendada € sotsarrendar € VMP00SF0 € sutsərəndˈaðə
sotsarrendades € sotsarrendar € VMP00PF0 € sutsərəndˈaðəs
sotsarrendador € sotsarrendador € NCMS000 € sutsərəndəðˈo
sotsarrendadora € sotsarrendador € NCFS000 € sutsərəndəðˈoɾə
sotsarrendadores € sotsarrendador € NCFP000 € sutsərəndəðˈoɾəs
sotsarrendadors € sotsarrendador € NCMP000 € sutsərəndəðˈos
sotsarrendament € sotsarrendament € NCMS000 € sutsərəndəmˈen
sotsarrendaments € sotsarrendament € NCMP000 € sutsərəndəmˈens
sotsarrendant € sotsarrendar € VMG00000 € sutsərəndˈan
sotsarrendar € sotsarrendar € VMN00000 € sutsərəndˈa
sotsarrendarà € sotsarrendar € VMIF3S00 € sutsərəndəɾˈa
sotsarrendaran € sotsarrendar € VMIF3P00 € sutsərəndəɾˈan
sotsarrendaràs € sotsarrendar € VMIF2S00 € sutsərəndəɾˈas
sotsarrendaré € sotsarrendar € VMIF1S00 € sutsərəndəɾˈe
sotsarrendarem € sotsarrendar € VMIF1P00 € sutsərəndəɾˈɛm
sotsarrendàrem € sotsarrendar € VMIS1P00 € sutsərəndˈaɾəm
sotsarrendaren € sotsarrendar € VMIS3P00 € sutsərəndˈaɾən
sotsarrendares € sotsarrendar € VMIS2S00 € sutsərəndˈaɾəs
sotsarrendareu € sotsarrendar € VMIF2P00 € sutsərəndəɾˈɛw
sotsarrendàreu € sotsarrendar € VMIS2P00 € sutsərəndˈaɾəw
sotsarrendaria € sotsarrendar € VMCC1S00 € sutsərəndəɾˈiə
sotsarrendaríem € sotsarrendar € VMCC1P00 € sutsərəndəɾˈiəm
sotsarrendarien € sotsarrendar € VMCC3P00 € sutsərəndəɾˈiən
sotsarrendaries € sotsarrendar € VMCC2S00 € sutsərəndəɾˈiəs
sotsarrendaríeu € sotsarrendar € VMCC2P00 € sutsərəndəɾˈiəw
sotsarrendat € sotsarrendar € VMP00SM0 € sutsərəndˈat
sotsarrendatari € sotsarrendatari € NCMS000 € sutsərəndətˈaɾi
sotsarrendatària € sotsarrendatari € NCFS000 € sutsərəndətˈaɾiə
sotsarrendatàries € sotsarrendatari € NCFP000 € sutsərəndətˈaɾiəs
sotsarrendataris € sotsarrendatari € NCMP000 € sutsərəndətˈaɾis
sotsarrendats € sotsarrendar € VMP00PM0 € sutsərəndˈats
sotsarrendava € sotsarrendar € VMII1S00 € sutsərəndˈaβə
sotsarrendàvem € sotsarrendar € VMII1P00 € sutsərəndˈaβəm
sotsarrendaven € sotsarrendar € VMII3P00 € sutsərəndˈaβən
sotsarrendaves € sotsarrendar € VMII2S00 € sutsərəndˈaβəs
sotsarrendàveu € sotsarrendar € VMII2P00 € sutsərəndˈaβəw
sotsarrendem € sotsarrendar € VMIP1P00 € sutsərəndˈɛm
sotsarrendem € sotsarrendar € VMM01P00 € sutsərəndˈɛm
sotsarrendem € sotsarrendar € VMSP1P00 € sutsərəndˈɛm
sotsarrenden € sotsarrendar € VMIP3P00 € sutsərˈendən
sotsarrendes € sotsarrendar € VMIP2S00 € sutsərˈendəs
sotsarrendés € sotsarrendar € VMSI1S01 € sutsərəndˈes
sotsarrendéssim € sotsarrendar € VMSI1P02 € sutsərəndˈesim
sotsarrendessin € sotsarrendar € VMSI3P02 € sutsərəndˈesin
sotsarrendessis € sotsarrendar € VMSI2S02 € sutsərəndˈesis
sotsarrendéssiu € sotsarrendar € VMSI2P02 € sutsərəndˈesiw
sotsarrendeu € sotsarrendar € VMIP2P00 € sutsərəndˈɛw
sotsarrendeu € sotsarrendar € VMM02P0X € sutsərəndˈɛw
sotsarrendeu € sotsarrendar € VMSP2P00 € sutsərəndˈɛw
sotsarrendi € sotsarrendar € VMM03S0Y € sutsərˈendi
sotsarrendi € sotsarrendar € VMSP1S0Y € sutsərˈendi
sotsarrendí € sotsarrendar € VMIS1S00 € sutsərəndˈi
sotsarrendin € sotsarrendar € VMM03P0Y € sutsərˈendin
sotsarrendin € sotsarrendar € VMSP3P0Y € sutsərˈendin
sotsarrendis € sotsarrendar € VMSP2S0Y € sutsərˈendis
sotsarrendo € sotsarrendar € VMIP1S0C € sutsərˈendu
sotsbatlle € sotsbatlle € NCMS000 € sudzβˈaʎʎə
sotsbatlles € sotsbatlle € NCMP000 € sudzβˈaʎʎəs
sotsdelegació € sotsdelegació € NCFS000 € sudzðələɣəsiˈo
sotsdelegacions € sotsdelegació € NCFP000 € sudzðələɣəsiˈons
sotsdelegada € sotsdelegat € NCFS000 € sudzðələɣˈaðə
sotsdelegades € sotsdelegat € NCFP000 € sudzðələɣˈaðəs
sotsdelegat € sotsdelegat € NCMS000 € sudzðələɣˈat
sotsdelegats € sotsdelegat € NCMP000 € sudzðələɣˈats
sotsdiaca € sotsdiaca € NCMS000 € sudzðiˈakə
sotsdiaconat € sotsdiaconat € NCMS000 € sudzðiəkunˈat
sotsgovernador € sotsgovernador € NCMS000 € sudzɣuβərnəðˈo
sotsgovernadora € sotsgovernador € NCFS000 € sudzɣuβərnəðˈoɾə
sotsgovernadores € sotsgovernador € NCFP000 € sudzɣuβərnəðˈoɾəs
sotsgovernadors € sotsgovernador € NCMP000 € sudzɣuβərnəðˈos
sotsinspecció € sotsinspecció € NCFS000 € sutsinspəksiˈo
sotsinspeccions € sotsinspecció € NCFP000 € sutsinspəksiˈons
sotsinspector € sotsinspector € NCMS000 € sutsinspəktˈo
sotsinspectora € sotsinspector € NCFS000 € sutsinspəktˈoɾə
sotsinspectores € sotsinspector € NCFP000 € sutsinspəktˈoɾəs
sotsinspectors € sotsinspector € NCMP000 € sutsinspəktˈos
sotsintendència € sotsintendència € NCFS000 € sutsintəndˈɛnsiə
sotsintendències € sotsintendència € NCFP000 € sutsintəndˈɛnsiəs
sotsintendent € sotsintendent € NCMS000 € sutsintəndˈen
sotsintendents € sotsintendent € NCMP000 € sutsintəndˈens
sotsllogater € sotsllogater € NCMS000 € sudzʎuɣətˈe
sotsllogatera € sotsllogater € NCFS000 € sudzʎuɣətˈeɾə
sotsllogateres € sotsllogater € NCFP000 € sudzʎuɣətˈeɾəs
sotsllogaters € sotsllogater € NCMP000 € sudzʎuɣətˈes
sotsobra € sotsobrar € VMIP3S00 € sutsˈɔβɾə
sotsobra € sotsobrar € VMM02S00 € sutsˈɔβɾə
sotsobrà € sotsobrar € VMIS3S00 € sutsuβɾˈa
sotsobrada € sotsobrar € VMP00SF0 € sutsuβɾˈaðə
sotsobrades € sotsobrar € VMP00PF0 € sutsuβɾˈaðəs
sotsobrant € sotsobrar € VMG00000 € sutsuβɾˈan
sotsobrar € sotsobrar € VMN00000 € sutsuβɾˈa
sotsobrarà € sotsobrar € VMIF3S00 € sutsuβɾəɾˈa
sotsobraran € sotsobrar € VMIF3P00 € sutsuβɾəɾˈan
sotsobraràs € sotsobrar € VMIF2S00 € sutsuβɾəɾˈas
sotsobraré € sotsobrar € VMIF1S00 € sutsuβɾəɾˈe
sotsobrarem € sotsobrar € VMIF1P00 € sutsuβɾəɾˈɛm
sotsobràrem € sotsobrar € VMIS1P00 € sutsuβɾˈaɾəm
sotsobraren € sotsobrar € VMIS3P00 € sutsuβɾˈaɾən
sotsobrares € sotsobrar € VMIS2S00 € sutsuβɾˈaɾəs
sotsobrareu € sotsobrar € VMIF2P00 € sutsuβɾəɾˈɛw
sotsobràreu € sotsobrar € VMIS2P00 € sutsuβɾˈaɾəw
sotsobraria € sotsobrar € VMCC1S00 € sutsuβɾəɾˈiə
sotsobraríem € sotsobrar € VMCC1P00 € sutsuβɾəɾˈiəm
sotsobrarien € sotsobrar € VMCC3P00 € sutsuβɾəɾˈiən
sotsobraries € sotsobrar € VMCC2S00 € sutsuβɾəɾˈiəs
sotsobraríeu € sotsobrar € VMCC2P00 € sutsuβɾəɾˈiəw
sotsobrat € sotsobrar € VMP00SM0 € sutsuβɾˈat
sotsobrats € sotsobrar € VMP00PM0 € sutsuβɾˈats
sotsobrava € sotsobrar € VMII1S00 € sutsuβɾˈaβə
sotsobràvem € sotsobrar € VMII1P00 € sutsuβɾˈaβəm
sotsobraven € sotsobrar € VMII3P00 € sutsuβɾˈaβən
sotsobraves € sotsobrar € VMII2S00 € sutsuβɾˈaβəs
sotsobràveu € sotsobrar € VMII2P00 € sutsuβɾˈaβəw
sotsobre € sotsobre € NCMS000 € sutsˈɔβɾə
sotsobrem € sotsobrar € VMIP1P00 € sutsuβɾˈɛm
sotsobrem € sotsobrar € VMM01P00 € sutsuβɾˈɛm
sotsobrem € sotsobrar € VMSP1P00 € sutsuβɾˈɛm
sotsobren € sotsobrar € VMIP3P00 € sutsˈɔβɾən
sotsobres € sotsobrar € VMIP2S00 € sutsˈɔβɾəs
sotsobres € sotsobre € NCMP000 € sutsˈɔβɾəs
sotsobrés € sotsobrar € VMSI1S01 € sutsuβɾˈes
sotsobréssim € sotsobrar € VMSI1P02 € sutsuβɾˈesim
sotsobressin € sotsobrar € VMSI3P02 € sutsuβɾˈesin
sotsobressis € sotsobrar € VMSI2S02 € sutsuβɾˈesis
sotsobréssiu € sotsobrar € VMSI2P02 € sutsuβɾˈesiw
sotsobreu € sotsobrar € VMIP2P00 € sutsuβɾˈɛw
sotsobreu € sotsobrar € VMM02P0X € sutsuβɾˈɛw
sotsobreu € sotsobrar € VMSP2P00 € sutsuβɾˈɛw
sotsobri € sotsobrar € VMM03S0Y € sutsˈɔβɾi
sotsobri € sotsobrar € VMSP1S0Y € sutsˈɔβɾi
sotsobrí € sotsobrar € VMIS1S00 € sutsuβɾˈi
sotsobrin € sotsobrar € VMM03P0Y € sutsˈɔβɾin
sotsobrin € sotsobrar € VMSP3P0Y € sutsˈɔβɾin
sotsobris € sotsobrar € VMSP2S0Y € sutsˈɔβɾis
sotsobro € sotsobrar € VMIP1S0C € sutsˈɔβɾu
sotsoficial € sotsoficial € NCMS000 € sutsufisiˈal
sotsoficiala € sotsoficial € NCFS000 € sutsufisiˈalə
sotsoficiales € sotsoficial € NCFP000 € sutsufisiˈaləs
sotsoficials € sotsoficial € NCMP000 € sutsufisiˈals
sotsprefecta € sotsprefecte € NCFS000 € sutspɾəfˈektə
sotsprefecte € sotsprefecte € NCMS000 € sutspɾəfˈektə
sotsprefectes € sotsprefecte € NCCP000 € sutspɾəfˈektəs
sotsprefectura € sotsprefectura € NCFS000 € sutspɾəfəktˈuɾə
sotsprefectures € sotsprefectura € NCFP000 € sutspɾəfəktˈuɾəs
sotsprior € sotsprior € NCMS000 € sutspɾiˈo
sotspriora € sotsprior € NCFS000 € sutspɾiˈoɾə
sotspriores € sotsprior € NCFP000 € sutspɾiˈoɾəs
sotsprioressa € sotsprioressa € NCFS000 € sutspɾiuɾˈɛsə
sotsprioresses € sotsprioressa € NCFP000 € sutspɾiuɾˈɛsəs
sotspriors € sotsprior € NCMP000 € sutspɾiˈos
sotssecretari € sotssecretari € NCMS000 € sutsəkɾətˈaɾi
sotssecretaria € sotssecretaria € NCFS000 € sutsəkɾətəɾˈiə
sotssecretària € sotssecretari € NCFS000 € sutsəkɾətˈaɾiə
sotssecretaries € sotssecretaria € NCFP000 € sutsəkɾətəɾˈiəs
sotssecretàries € sotssecretari € NCFP000 € sutsəkɾətˈaɾiəs
sotssecretaris € sotssecretari € NCMP000 € sutsəkɾətˈaɾis
sotstinent € sotstinent € NCMS000 € sutstinˈen
sotstinenta € sotstinent € NCFS000 € sutstinˈentə
sotstinentes € sotstinent € NCFP000 € sutstinˈentəs
sotstinents € sotstinent € NCMP000 € sutstinˈens
sotsveguer € sotsveguer € NCMS000 € sudzβəɣˈe
sotsveguera € sotsveguer € NCFS000 € sudzβəɣˈeɾə
sotsvegueres € sotsveguer € NCFP000 € sudzβəɣˈeɾəs
sotsvegueria € sotsvegueria € NCFS000 € sudzβəɣəɾˈiə
sotsvegueries € sotsvegueria € NCFP000 € sudzβəɣəɾˈiəs
sotsveguers € sotsveguer € NCMP000 € sudzβəɣˈes
Sotteville-lès-Rouen € Sotteville-lès-Rouen € NPCSG00 € sutəβˈiʎəlˈɛzrˈɔwən
Sotxi € Sotxi € NPCSG00 € sˈɔtʃi
sou € ser € VSIP2P00 € sˈow
sou € sou € NCMS000 € sˈow
souet € souet € NCMS000 € sɔwˈɛt
souets € souet € NCMP000 € sɔwˈɛts
soul € soul € NCMS000 € sˈɔwl
Soulages € Soulages € NPCNSP0 € sɔwlˈaʒəs
souls € soul € NCMP000 € sˈawlz
sous € sou € NCMP000 € sˈɔws
sousàfon € sousàfon € NCMS000 € sɔwzˈafun
Sousse € Sousse € NPCSG00 € sˈɔwsə
Southampton € Southampton € NPCSG00 € sɔwtəmtˈon
Southend-on-Sea € Southend-on-Sea € NPCSG00 € sɔwtˈenˈonsˈeə
Southport € Southport € NPCSG00 € sɔwtpˈɔr
Southwark € Southwark € NPCSG00 € sɔwdbˈark
