coc € coure € VMIP1S00 € kˈɔk
coetani € coetani € AQ0MS0 € kuətˈani
coetània € coetani € AQ0FS0 € kuətˈaniə
coetànies € coetani € AQ0FP0 € kuətˈaniəs
coetanis € coetani € AQ0MP0 € kuətˈanis
coeter € coeter € NCMS000 € kuətˈe
coetera € coeter € NCFS000 € kuətˈeɾə
coeteres € coeter € NCFP000 € kuətˈeɾəs
coetern € coetern € AQ0MS0 € kuətˈɛrn
coeterna € coetern € AQ0FS0 € kuətˈɛrnə
coeternes € coetern € AQ0FP0 € kuətˈɛrnəs
coeternitat € coeternitat € NCFS000 € kuətərnitˈat
coeternitats € coeternitat € NCFP000 € kuətərnitˈats
coeterns € coetern € AQ0MP0 € kuətˈɛrns
coeters € coeter € NCMP000 € kuətˈes
coetes € coeta € NCFP000 € kuˈɛtəs
coetina € coetina € NCFS000 € kuətˈinə
coetines € coetina € NCFP000 € kuətˈinəs
coets € coet € NCMP000 € kuˈɛts
coeu € coure € VMIP2P00 € kuˈɛw
coeu € coure € VMM02P00 € kuˈɛw
coevolució € coevolució € NCFS000 € kuəβulusiˈo
coexisteix € coexistir € VMIP3S00 € kuəɡzistˈɛʃ
coexisteix € coexistir € VMM02S00 € kuəɡzistˈɛʃ
coexisteixen € coexistir € VMIP3P00 € kuəɡzistˈɛʃən
coexisteixes € coexistir € VMIP2S00 € kuəɡzistˈɛʃəs
coexisteixi € coexistir € VMM03S0Y € kuəɡzistˈɛʃi
coexisteixi € coexistir € VMSP1S0Y € kuəɡzistˈɛʃi
coexisteixin € coexistir € VMM03P0Y € kuəɡzistˈɛʃin
coexisteixin € coexistir € VMSP3P0Y € kuəɡzistˈɛʃin
coexisteixis € coexistir € VMSP2S0Y € kuəɡzistˈɛʃis
coexisteixo € coexistir € VMIP1S0C € kuəɡzistˈɛʃu
coexistència € coexistència € NCFS000 € kuəɡzistˈɛnsiə
coexistències € coexistència € NCFP000 € kuəɡzistˈɛnsiəs
coexistent € coexistent € AQ0CS0 € kuəɡzistˈen
coexistents € coexistent € AQ0CP0 € kuəɡzistˈens
coexistí € coexistir € VMIS1S00 € kuəɡzistˈi
coexistia € coexistir € VMII1S00 € kuəɡzistˈiə
coexistida € coexistir € VMP00SF0 € kuəɡzistˈiðə
coexistides € coexistir € VMP00PF0 € kuəɡzistˈiðəs
coexistíem € coexistir € VMII1P00 € kuəɡzistˈiəm
coexistien € coexistir € VMII3P00 € kuəɡzistˈiən
coexisties € coexistir € VMII2S00 € kuəɡzistˈiəs
coexistíeu € coexistir € VMII2P00 € kuəɡzistˈiəw
coexistim € coexistir € VMIP1P00 € kuəɡzistˈim
coexistim € coexistir € VMM01P00 € kuəɡzistˈim
coexistim € coexistir € VMSP1P00 € kuəɡzistˈim
coexistint € coexistir € VMG00000 € kuəɡzistˈin
coexistir € coexistir € VMN00000 € kuəɡzistˈi
coexistirà € coexistir € VMIF3S00 € kuəɡzistiɾˈa
coexistiran € coexistir € VMIF3P00 € kuəɡzistiɾˈan
coexistiràs € coexistir € VMIF2S00 € kuəɡzistiɾˈas
coexistiré € coexistir € VMIF1S00 € kuəɡzistiɾˈe
coexistirem € coexistir € VMIF1P00 € kuəɡzistiɾˈɛm
coexistírem € coexistir € VMIS1P00 € kuəɡzistˈiɾəm
coexistiren € coexistir € VMIS3P00 € kuəɡzistˈiɾən
coexistires € coexistir € VMIS2S00 € kuəɡzistˈiɾəs
coexistireu € coexistir € VMIF2P00 € kuəɡzistiɾˈɛw
coexistíreu € coexistir € VMIS2P00 € kuəɡzistˈiɾəw
coexistiria € coexistir € VMCC1S00 € kuəɡzistiɾˈiə
coexistiríem € coexistir € VMCC1P00 € kuəɡzistiɾˈiəm
coexistirien € coexistir € VMCC3P00 € kuəɡzistiɾˈiən
coexistiries € coexistir € VMCC2S00 € kuəɡzistiɾˈiəs
coexistiríeu € coexistir € VMCC2P00 € kuəɡzistiɾˈiəw
coexistís € coexistir € VMSI1S01 € kuəɡzistˈis
coexistíssim € coexistir € VMSI1P02 € kuəɡzistˈisim
coexistissin € coexistir € VMSI3P02 € kuəɡzistˈisin
coexistissis € coexistir € VMSI2S02 € kuəɡzistˈisis
coexistíssiu € coexistir € VMSI2P02 € kuəɡzistˈisiw
coexistit € coexistir € VMP00SM0 € kuəɡzistˈit
coexistits € coexistir € VMP00PM0 € kuəɡzistˈits
coexistiu € coexistir € VMIP2P00 € kuəɡzistˈiw
coexistiu € coexistir € VMM02P00 € kuəɡzistˈiw
coexistiu € coexistir € VMSP2P00 € kuəɡzistˈiw
cof € cof € NCFS000 € kˈɔf
cofa € cofa € NCFS000 € kˈɔfə
cofa € cofar € VMIP3S00 € kˈɔfə
cofa € cofar € VMM02S00 € kˈɔfə
cofà € cofar € VMIS3S00 € kufˈa
cofactor € cofactor € NCMS000 € kufəktˈo
cofactors € cofactor € NCMP000 € kufəktˈos
cofada € cofar € VMP00SF0 € kufˈaðə
cofades € cofar € VMP00PF0 € kufˈaðəs
cofant € cofar € VMG00000 € kufˈan
cofar € cofar € VMN00000 € kufˈa
cofarà € cofar € VMIF3S00 € kufəɾˈa
cofaran € cofar € VMIF3P00 € kufəɾˈan
cofaràs € cofar € VMIF2S00 € kufəɾˈas
cofaré € cofar € VMIF1S00 € kufəɾˈe
cofarem € cofar € VMIF1P00 € kufəɾˈɛm
cofàrem € cofar € VMIS1P00 € kufˈaɾəm
cofaren € cofar € VMIS3P00 € kufˈaɾən
cofares € cofar € VMIS2S00 € kufˈaɾəs
cofareu € cofar € VMIF2P00 € kufəɾˈɛw
cofàreu € cofar € VMIS2P00 € kufˈaɾəw
cofaria € cofar € VMCC1S00 € kufəɾˈiə
cofaríem € cofar € VMCC1P00 € kufəɾˈiəm
cofarien € cofar € VMCC3P00 € kufəɾˈiən
cofaries € cofar € VMCC2S00 € kufəɾˈiəs
cofaríeu € cofar € VMCC2P00 € kufəɾˈiəw
cofat € cofar € VMP00SM0 € kufˈat
cofats € cofar € VMP00PM0 € kufˈats
cofava € cofar € VMII1S00 € kufˈaβə
cofàvem € cofar € VMII1P00 € kufˈaβəm
cofaven € cofar € VMII3P00 € kufˈaβən
cofaves € cofar € VMII2S00 € kufˈaβəs
cofàveu € cofar € VMII2P00 € kufˈaβəw
cofem € cofar € VMIP1P00 € kufˈɛm
cofem € cofar € VMM01P00 € kufˈɛm
cofem € cofar € VMSP1P00 € kufˈɛm
cofèmia € cofèmia € NCFS000 € kufˈɛmiə
cofen € cofar € VMIP3P00 € kˈɔfən
cofes € cofa € NCFP000 € kˈɔfəs
cofes € cofar € VMIP2S00 € kˈɔfəs
cofés € cofar € VMSI1S01 € kufˈes
coféssim € cofar € VMSI1P02 € kufˈesim
cofessin € cofar € VMSI3P02 € kufˈesin
cofessis € cofar € VMSI2S02 € kufˈesis
coféssiu € cofar € VMSI2P02 € kufˈesiw
cofeu € cofar € VMIP2P00 € kufˈɛw
cofeu € cofar € VMM02P0X € kufˈɛw
cofeu € cofar € VMSP2P00 € kufˈɛw
cofi € cofar € VMM03S0Y € kˈɔfi
cofi € cofar € VMSP1S0Y € kˈɔfi
cofí € cofar € VMIS1S00 € kufˈi
cofí € cofí € NCMS000 € kufˈi
còfia € còfia € NCFS000 € kˈɔfiə
cofiador € cofiador € NCMS000 € kufiəðˈo
cofiadora € cofiador € NCFS000 € kufiəðˈoɾə
cofiadores € cofiador € NCFP000 € kufiəðˈoɾəs
cofiadors € cofiador € NCMP000 € kufiəðˈos
còfies € còfia € NCFP000 € kˈɔfiəs
cofin € cofar € VMM03P0Y € kˈɔfin
cofin € cofar € VMSP3P0Y € kˈɔfin
cofinança € cofinançar € VMIP3S00 € kufinˈansə
cofinança € cofinançar € VMM02S00 € kufinˈansə
cofinançà € cofinançar € VMIS3S00 € kufinənsˈa
cofinançada € cofinançar € VMP00SF0 € kufinənsˈaðə
cofinançades € cofinançar € VMP00PF0 € kufinənsˈaðəs
cofinançant € cofinançar € VMG00000 € kufinənsˈan
cofinançar € cofinançar € VMN00000 € kufinənsˈa
cofinançarà € cofinançar € VMIF3S00 € kufinənsəɾˈa
cofinançaran € cofinançar € VMIF3P00 € kufinənsəɾˈan
cofinançaràs € cofinançar € VMIF2S00 € kufinənsəɾˈas
cofinançaré € cofinançar € VMIF1S00 € kufinənsəɾˈe
cofinançarem € cofinançar € VMIF1P00 € kufinənsəɾˈɛm
cofinançàrem € cofinançar € VMIS1P00 € kufinənsˈaɾəm
cofinançaren € cofinançar € VMIS3P00 € kufinənsˈaɾən
cofinançares € cofinançar € VMIS2S00 € kufinənsˈaɾəs
cofinançareu € cofinançar € VMIF2P00 € kufinənsəɾˈɛw
cofinançàreu € cofinançar € VMIS2P00 € kufinənsˈaɾəw
cofinançaria € cofinançar € VMCC1S00 € kufinənsəɾˈiə
cofinançaríem € cofinançar € VMCC1P00 € kufinənsəɾˈiəm
cofinançarien € cofinançar € VMCC3P00 € kufinənsəɾˈiən
cofinançaries € cofinançar € VMCC2S00 € kufinənsəɾˈiəs
cofinançaríeu € cofinançar € VMCC2P00 € kufinənsəɾˈiəw
cofinançat € cofinançar € VMP00SM0 € kufinənsˈat
cofinançats € cofinançar € VMP00PM0 € kufinənsˈats
cofinançava € cofinançar € VMII1S00 € kufinənsˈaβə
cofinançàvem € cofinançar € VMII1P00 € kufinənsˈaβəm
cofinançaven € cofinançar € VMII3P00 € kufinənsˈaβən
cofinançaves € cofinançar € VMII2S00 € kufinənsˈaβəs
cofinançàveu € cofinançar € VMII2P00 € kufinənsˈaβəw
cofinancem € cofinançar € VMIP1P00 € kufinənsˈɛm
cofinancem € cofinançar € VMM01P00 € kufinənsˈɛm
cofinancem € cofinançar € VMSP1P00 € kufinənsˈɛm
cofinancen € cofinançar € VMIP3P00 € kufinˈansən
cofinances € cofinançar € VMIP2S00 € kufinˈansəs
cofinancés € cofinançar € VMSI1S01 € kufinənsˈes
cofinancéssim € cofinançar € VMSI1P02 € kufinənsˈesim
cofinancessin € cofinançar € VMSI3P02 € kufinənsˈesin
cofinancessis € cofinançar € VMSI2S02 € kufinənsˈesis
cofinancéssiu € cofinançar € VMSI2P02 € kufinənsˈesiw
cofinanceu € cofinançar € VMIP2P00 € kufinənsˈɛw
cofinanceu € cofinançar € VMM02P0X € kufinənsˈɛw
cofinanceu € cofinançar € VMSP2P00 € kufinənsˈɛw
cofinanci € cofinançar € VMM03S0Y € kufinˈansi
cofinanci € cofinançar € VMSP1S0Y € kufinˈansi
cofinancí € cofinançar € VMIS1S00 € kufinənsˈi
cofinancin € cofinançar € VMM03P0Y € kufinˈansin
cofinancin € cofinançar € VMSP3P0Y € kufinˈansin
cofinancis € cofinançar € VMSP2S0Y € kufinˈansis
cofinanço € cofinançar € VMIP1S0C € kufinˈansu
cofins € cofí € NCMP000 € kufˈins
cofis € cofar € VMSP2S0Y € kˈɔfis
cofisimofis € cofisimofis € NCMP000 € kufizimˈɔfis
cofo € cofar € VMIP1S0C € kˈɔfu
cofoi € cofoi € AQ0MS0 € kufˈɔj
cofoia € cofoi € AQ0FS0 € kufˈɔjə
cofoiament € cofoiament € ZRG € kufˈɔjəmˈen
cofoies € cofoi € AQ0FP0 € kufˈɔjəs
cofois € cofoi € AQ0MP0 € kufˈɔjs
cofoisme € cofoisme € NCMS000 € kufuˈizmə
cofoismes € cofoisme € NCMP000 € kufuˈizməs
cofosi € cofosi € NCFS000 € kufˈozi
cofre € cofre € NCMS000 € kˈɔfɾə
Cofrentes € Cofrents € NPCSG0O € kufɾˈentəs
cofrentí € cofrentí € AQ0MS0 € kufɾəntˈi
cofrentina € cofrentí € AQ0FS0 € kufɾəntˈinə
Cofrents € Cofrents € NPCSG0V € kufɾˈens
cofrer € cofrer € NCMS000 € kufɾˈe
cofrera € cofrer € NCFS000 € kufɾˈeɾə
cofreres € cofrer € NCFP000 € kufɾˈeɾəs
cofrers € cofrer € NCMP000 € kufɾˈes
cofres € cofre € NCMP000 € kˈɔfɾəs
cofs € cof € NCFP000 € kˈɔfs
cofundador € cofundador € AQ0MS0 € kufundəðˈo
cofundador € cofundador € NCMS000 € kufundəðˈo
cofundadora € cofundador € AQ0FS0 € kufundəðˈoɾə
cofundadora € cofundador € NCFS000 € kufundəðˈoɾə
cofundadores € cofundador € AQ0FP0 € kufundəðˈoɾəs
cofundadores € cofundador € NCFP000 € kufundəðˈoɾəs
cofundadors € cofundador € AQ0MP0 € kufundəðˈos
cofundadors € cofundador € NCMP000 € kufundəðˈos
cofurna € cofurna € NCFS000 € kufˈurnə
cofurnes € cofurna € NCFP000 € kufˈurnəs
cogeneració € cogeneració € NCFS000 € kuʒənəɾəsiˈo
cogeneracions € cogeneració € NCFP000 € kuʒənəɾəsiˈons
cogestió € cogestió € NCFS000 € kuʒəstiˈo
cogestions € cogestió € NCFP000 € kuʒəstiˈons
cogita € cogitar € VMIP3S00 € kuʒˈitə
cogita € cogitar € VMM02S00 € kuʒˈitə
cogità € cogitar € VMIS3S00 € kuʒitˈa
cogitable € cogitable € AQ0CS0 € kuʒitˈabblə
cogitables € cogitable € AQ0CP0 € kuʒitˈabbləs
cogitació € cogitació € NCFS000 € kuʒitəsiˈo
cogitacions € cogitació € NCFP000 € kuʒitəsiˈons
cogitada € cogitar € VMP00SF0 € kuʒitˈaðə
cogitades € cogitar € VMP00PF0 € kuʒitˈaðəs
cogitant € cogitar € VMG00000 € kuʒitˈan
cogitar € cogitar € VMN00000 € kuʒitˈa
cogitarà € cogitar € VMIF3S00 € kuʒitəɾˈa
cogitaran € cogitar € VMIF3P00 € kuʒitəɾˈan
cogitaràs € cogitar € VMIF2S00 € kuʒitəɾˈas
cogitaré € cogitar € VMIF1S00 € kuʒitəɾˈe
cogitarem € cogitar € VMIF1P00 € kuʒitəɾˈɛm
cogitàrem € cogitar € VMIS1P00 € kuʒitˈaɾəm
cogitaren € cogitar € VMIS3P00 € kuʒitˈaɾən
cogitares € cogitar € VMIS2S00 € kuʒitˈaɾəs
cogitareu € cogitar € VMIF2P00 € kuʒitəɾˈɛw
cogitàreu € cogitar € VMIS2P00 € kuʒitˈaɾəw
cogitaria € cogitar € VMCC1S00 € kuʒitəɾˈiə
cogitaríem € cogitar € VMCC1P00 € kuʒitəɾˈiəm
cogitarien € cogitar € VMCC3P00 € kuʒitəɾˈiən
cogitaries € cogitar € VMCC2S00 € kuʒitəɾˈiəs
cogitaríeu € cogitar € VMCC2P00 € kuʒitəɾˈiəw
cogitat € cogitar € VMP00SM0 € kuʒitˈat
cogitatiu € cogitatiu € AQ0MS0 € kuʒitətˈiw
cogitatius € cogitatiu € AQ0MP0 € kuʒitətˈiws
cogitativa € cogitatiu € AQ0FS0 € kuʒitətˈiβə
cogitatives € cogitatiu € AQ0FP0 € kuʒitətˈiβəs
cogitats € cogitar € VMP00PM0 € kuʒitˈats
cogitava € cogitar € VMII1S00 € kuʒitˈaβə
cogitàvem € cogitar € VMII1P00 € kuʒitˈaβəm
cogitaven € cogitar € VMII3P00 € kuʒitˈaβən
cogitaves € cogitar € VMII2S00 € kuʒitˈaβəs
cogitàveu € cogitar € VMII2P00 € kuʒitˈaβəw
cogitem € cogitar € VMIP1P00 € kuʒitˈɛm
cogitem € cogitar € VMM01P00 € kuʒitˈɛm
cogitem € cogitar € VMSP1P00 € kuʒitˈɛm
cogiten € cogitar € VMIP3P00 € kuʒˈitən
cogites € cogitar € VMIP2S00 € kuʒˈitəs
cogités € cogitar € VMSI1S01 € kuʒitˈes
cogitéssim € cogitar € VMSI1P02 € kuʒitˈesim
cogitessin € cogitar € VMSI3P02 € kuʒitˈesin
cogitessis € cogitar € VMSI2S02 € kuʒitˈesis
cogitéssiu € cogitar € VMSI2P02 € kuʒitˈesiw
cogiteu € cogitar € VMIP2P00 € kuʒitˈɛw
cogiteu € cogitar € VMM02P0X € kuʒitˈɛw
cogiteu € cogitar € VMSP2P00 € kuʒitˈɛw
cogiti € cogitar € VMM03S0Y € kuʒˈiti
cogiti € cogitar € VMSP1S0Y € kuʒˈiti
cogití € cogitar € VMIS1S00 € kuʒitˈi
cogitin € cogitar € VMM03P0Y € kuʒˈitin
cogitin € cogitar € VMSP3P0Y € kuʒˈitin
cogitis € cogitar € VMSP2S0Y € kuʒˈitis
cogito € cogitar € VMIP1S0C € kuʒˈitu
Cognac € Cognac € NPCSG00 € kuɡnˈak
cognació € cognació € NCFS000 € kuɡnəsiˈo
cognacions € cognació € NCFP000 € kuɡnəsiˈons
cognada € cognat € AQ0FS0 € kuɡnˈaðə
cognades € cognat € AQ0FP0 € kuɡnˈaðəs
cognat € cognat € AQ0MS0 € kuɡnˈat
cognatici € cognatici € AQ0MS0 € kuɡnətˈisi
cognatícia € cognatici € AQ0FS0 € kuɡnətˈisiə
cognatícies € cognatici € AQ0FP0 € kuɡnətˈisiəs
cognaticis € cognatici € AQ0MP0 € kuɡnətˈisis
cognats € cognat € AQ0MP0 € kuɡnˈats
cognició € cognició € NCFS000 € kuɡnisiˈo
cognicions € cognició € NCFP000 € kuɡnisiˈons
cognitiu € cognitiu € AQ0MS0 € kuɡnitˈiw
cognitius € cognitiu € AQ0MP0 € kuɡnitˈiws
cognitiva € cognitiu € AQ0FS0 € kuɡnitˈiβə
cognitives € cognitiu € AQ0FP0 € kuɡnitˈiβəs
cognitivisme € cognitivisme € NCMS000 € kuɡnitiβˈizmə
cognitivismes € cognitivisme € NCMP000 € kuɡnitiβˈizməs
cognom € cognom € NCMS000 € kuɡnˈɔm
cognomena € cognomenar € VMIP3S00 € kuɡnumˈɛnə
cognomena € cognomenar € VMM02S00 € kuɡnumˈɛnə
cognomenà € cognomenar € VMIS3S00 € kuɡnumənˈa
cognomenada € cognomenar € VMP00SF0 € kuɡnumənˈaðə
cognomenades € cognomenar € VMP00PF0 € kuɡnumənˈaðəs
cognomenant € cognomenar € VMG00000 € kuɡnumənˈan
cognomenar € cognomenar € VMN00000 € kuɡnumənˈa
cognomenarà € cognomenar € VMIF3S00 € kuɡnumənəɾˈa
cognomenaran € cognomenar € VMIF3P00 € kuɡnumənəɾˈan
cognomenaràs € cognomenar € VMIF2S00 € kuɡnumənəɾˈas
cognomenaré € cognomenar € VMIF1S00 € kuɡnumənəɾˈe
cognomenarem € cognomenar € VMIF1P00 € kuɡnumənəɾˈɛm
cognomenàrem € cognomenar € VMIS1P00 € kuɡnumənˈaɾəm
cognomenaren € cognomenar € VMIS3P00 € kuɡnumənˈaɾən
cognomenares € cognomenar € VMIS2S00 € kuɡnumənˈaɾəs
cognomenareu € cognomenar € VMIF2P00 € kuɡnumənəɾˈɛw
cognomenàreu € cognomenar € VMIS2P00 € kuɡnumənˈaɾəw
cognomenaria € cognomenar € VMCC1S00 € kuɡnumənəɾˈiə
cognomenaríem € cognomenar € VMCC1P00 € kuɡnumənəɾˈiəm
cognomenarien € cognomenar € VMCC3P00 € kuɡnumənəɾˈiən
cognomenaries € cognomenar € VMCC2S00 € kuɡnumənəɾˈiəs
cognomenaríeu € cognomenar € VMCC2P00 € kuɡnumənəɾˈiəw
cognomenat € cognomenar € VMP00SM0 € kuɡnumənˈat
cognomenats € cognomenar € VMP00PM0 € kuɡnumənˈats
cognomenava € cognomenar € VMII1S00 € kuɡnumənˈaβə
cognomenàvem € cognomenar € VMII1P00 € kuɡnumənˈaβəm
cognomenaven € cognomenar € VMII3P00 € kuɡnumənˈaβən
cognomenaves € cognomenar € VMII2S00 € kuɡnumənˈaβəs
cognomenàveu € cognomenar € VMII2P00 € kuɡnumənˈaβəw
cognomenem € cognomenar € VMIP1P00 € kuɡnumənˈɛm
cognomenem € cognomenar € VMM01P00 € kuɡnumənˈɛm
cognomenem € cognomenar € VMSP1P00 € kuɡnumənˈɛm
cognomenen € cognomenar € VMIP3P00 € kuɡnumˈɛnən
cognomenes € cognomenar € VMIP2S00 € kuɡnumˈɛnəs
cognomenés € cognomenar € VMSI1S01 € kuɡnumənˈes
cognomenéssim € cognomenar € VMSI1P02 € kuɡnumənˈesim
cognomenessin € cognomenar € VMSI3P02 € kuɡnumənˈesin
cognomenessis € cognomenar € VMSI2S02 € kuɡnumənˈesis
cognomenéssiu € cognomenar € VMSI2P02 € kuɡnumənˈesiw
cognomeneu € cognomenar € VMIP2P00 € kuɡnumənˈɛw
cognomeneu € cognomenar € VMM02P0X € kuɡnumənˈɛw
cognomeneu € cognomenar € VMSP2P00 € kuɡnumənˈɛw
cognomeni € cognomenar € VMM03S0Y € kuɡnumˈɛni
cognomeni € cognomenar € VMSP1S0Y € kuɡnumˈɛni
cognomení € cognomenar € VMIS1S00 € kuɡnumənˈi
cognomenin € cognomenar € VMM03P0Y € kuɡnumˈɛnin
cognomenin € cognomenar € VMSP3P0Y € kuɡnumˈɛnin
cognomenis € cognomenar € VMSP2S0Y € kuɡnumˈɛnis
cognomeno € cognomenar € VMIP1S0C € kuɡnumˈɛnu
cognoms € cognom € NCMP000 € kuɡnˈɔms
cognoscibilitat € cognoscibilitat € NCFS000 € kuɡnusiβilitˈat
cognoscibilitats € cognoscibilitat € NCFP000 € kuɡnusiβilitˈats
cognoscible € cognoscible € AQ0CS0 € kuɡnusˈibblə
cognoscibles € cognoscible € AQ0CP0 € kuɡnusˈibbləs
cognoscitiu € cognoscitiu € AQ0MS0 € kuɡnusitˈiw
cognoscitius € cognoscitiu € AQ0MP0 € kuɡnusitˈiws
cognoscitiva € cognoscitiu € AQ0FS0 € kuɡnusitˈiβə
cognoscitives € cognoscitiu € AQ0FP0 € kuɡnusitˈiβəs
Cogolls € Cogolls € NPCSG00 € kuɣˈɔʎs
cogoma € cogoma € NCFS000 € kuɣˈɔmə
cogomassa € cogomassa € NCFS000 € kuɣumˈasə
cogomasses € cogomassa € NCFP000 € kuɣumˈasəs
cogomat € cogomat € NCMS000 € kuɣumˈat
cogomats € cogomat € NCMP000 € kuɣumˈats
cogombrar € cogombrar € NCMS000 € kuɣumbɾˈa
cogombrars € cogombrar € NCMP000 € kuɣumbɾˈas
cogombre € cogombre € NCMS000 € kuɣˈombɾə
cogombrera € cogombrera € NCFS000 € kuɣumbɾˈeɾə
cogombreres € cogombrera € NCFP000 € kuɣumbɾˈeɾəs
cogombres € cogombre € NCMP000 € kuɣˈombɾəs
cogombret € cogombret € NCMS000 € kuɣumbɾˈɛt
cogombrets € cogombret € NCMP000 € kuɣumbɾˈɛts
cogomella € cogomella € NCFS000 € kuɣumˈeʎə
cogomelles € cogomella € NCFP000 € kuɣumˈeʎəs
cogomes € cogoma € NCFP000 € kuɣˈɔməs
coguda € coure € VMP00SF0 € kuɣˈuðə
cogudes € coure € VMP00PF0 € kuɣˈuðəs
cogué € coure € VMIS3S00 € kuɣˈe
coguem € coure € VMM01P00 € kuɣˈɛm
coguem € coure € VMSP1P00 € kuɣˈɛm
coguérem € coure € VMIS1P00 € kuɣˈeɾəm
cogueren € coure € VMIS3P00 € kuɣˈɛɾən
cogueres € coure € VMIS2S00 € kuɣˈeɾəs
coguéreu € coure € VMIS2P00 € kuɣˈeɾəw
cogués € coure € VMSI1S01 € kuɣˈes
coguéssim € coure € VMSI1P02 € kuɣˈesim
coguessin € coure € VMSI3P02 € kuɣˈesin
coguessis € coure € VMSI2S02 € kuɣˈesis
coguéssiu € coure € VMSI2P02 € kuɣˈesiw
cogueu € coure € VMSP2P00 € kuɣˈɛw
cogui € coure € VMM03S0Y € kˈɔɣi
cogui € coure € VMSP1S0Y € kˈɔɣi
coguí € coure € VMIS1S00 € kuɣˈi
coguin € coure € VMM03P0Y € kˈɔɣin
coguin € coure € VMSP3P0Y € kˈɔɣin
coguis € coure € VMSP2S0Y € kˈɔɣis
Cogul € Cogul € NPMSG00 € kuɣˈul
cogulenc € cogulenc € AQ0MS0 € kuɣulˈɛŋ
cogulenc € cogulenc € NCMS000 € kuɣulˈɛŋ
cogulenca € cogulenc € AQ0FS0 € kuɣulˈɛŋkə
cogulenca € cogulenc € NCFS000 € kuɣulˈɛŋkə
cogulla € cogulla € NCFS000 € kuɣˈuʎə
Cogullada € Cogullada € NPFSG00 € kuɣuʎˈaðə
cogullada € cogullada € NCFS000 € kuɣuʎˈaðə
cogullades € cogullada € NCFP000 € kuɣuʎˈaðəs
cogulles € cogulla € NCFP000 € kuɣˈuʎəs
cogulló € cogulló € NCMS000 € kuɣuʎˈo
cogullons € cogulló € NCMP000 € kuɣuʎˈons
cogut € coure € VMP00SM0 € kuɣˈut
coguts € coure € VMP00PM0 € kuɣˈuts
cohabita € cohabitar € VMIP3S00 € kuəβˈitə
cohabita € cohabitar € VMM02S00 € kuəβˈitə
cohabità € cohabitar € VMIS3S00 € kuəβitˈa
cohabitació € cohabitació € NCFS000 € kuəβitəsiˈo
cohabitacions € cohabitació € NCFP000 € kuəβitəsiˈons
cohabitada € cohabitar € VMP00SF0 € kuəβitˈaðə
cohabitades € cohabitar € VMP00PF0 € kuəβitˈaðəs
cohabitant € cohabitant € NCCS000 € kuəβitˈan
cohabitant € cohabitar € VMG00000 € kuəβitˈan
cohabitants € cohabitant € NCCP000 € kuəβitˈans
cohabitar € cohabitar € VMN00000 € kuəβitˈa
cohabitarà € cohabitar € VMIF3S00 € kuəβitəɾˈa
cohabitaran € cohabitar € VMIF3P00 € kuəβitəɾˈan
cohabitaràs € cohabitar € VMIF2S00 € kuəβitəɾˈas
cohabitaré € cohabitar € VMIF1S00 € kuəβitəɾˈe
cohabitarem € cohabitar € VMIF1P00 € kuəβitəɾˈɛm
cohabitàrem € cohabitar € VMIS1P00 € kuəβitˈaɾəm
cohabitaren € cohabitar € VMIS3P00 € kuəβitˈaɾən
cohabitares € cohabitar € VMIS2S00 € kuəβitˈaɾəs
cohabitareu € cohabitar € VMIF2P00 € kuəβitəɾˈɛw
cohabitàreu € cohabitar € VMIS2P00 € kuəβitˈaɾəw
cohabitaria € cohabitar € VMCC1S00 € kuəβitəɾˈiə
cohabitaríem € cohabitar € VMCC1P00 € kuəβitəɾˈiəm
cohabitarien € cohabitar € VMCC3P00 € kuəβitəɾˈiən
cohabitaries € cohabitar € VMCC2S00 € kuəβitəɾˈiəs
cohabitaríeu € cohabitar € VMCC2P00 € kuəβitəɾˈiəw
cohabitat € cohabitar € VMP00SM0 € kuəβitˈat
cohabitatge € cohabitatge € NCMS000 € kuəβitˈadʒə
cohabitats € cohabitar € VMP00PM0 € kuəβitˈats
cohabitava € cohabitar € VMII1S00 € kuəβitˈaβə
cohabitàvem € cohabitar € VMII1P00 € kuəβitˈaβəm
cohabitaven € cohabitar € VMII3P00 € kuəβitˈaβən
cohabitaves € cohabitar € VMII2S00 € kuəβitˈaβəs
cohabitàveu € cohabitar € VMII2P00 € kuəβitˈaβəw
cohabitem € cohabitar € VMIP1P00 € kuəβitˈɛm
cohabitem € cohabitar € VMM01P00 € kuəβitˈɛm
cohabitem € cohabitar € VMSP1P00 € kuəβitˈɛm
cohabiten € cohabitar € VMIP3P00 € kuəβˈitən
cohabites € cohabitar € VMIP2S00 € kuəβˈitəs
cohabités € cohabitar € VMSI1S01 € kuəβitˈes
cohabitéssim € cohabitar € VMSI1P02 € kuəβitˈesim
cohabitessin € cohabitar € VMSI3P02 € kuəβitˈesin
cohabitessis € cohabitar € VMSI2S02 € kuəβitˈesis
cohabitéssiu € cohabitar € VMSI2P02 € kuəβitˈesiw
cohabiteu € cohabitar € VMIP2P00 € kuəβitˈɛw
cohabiteu € cohabitar € VMM02P0X € kuəβitˈɛw
cohabiteu € cohabitar € VMSP2P00 € kuəβitˈɛw
cohabiti € cohabitar € VMM03S0Y € kuəβˈiti
cohabiti € cohabitar € VMSP1S0Y € kuəβˈiti
cohabití € cohabitar € VMIS1S00 € kuəβitˈi
cohabitin € cohabitar € VMM03P0Y € kuəβˈitin
cohabitin € cohabitar € VMSP3P0Y € kuəβˈitin
